,Industry,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equip and Supplies Dlrs,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instr, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Ambulatory Health Care Services,"Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,"Automotive Parts, Accessories, and Tire Stores",Total retail and food service¹,"Total retail and food service, excluding nonstore"
"Dec. 15 - Dec. 21, 2021",Median,18.7,34.4,22.2,30.6,13.6,21.4,42.5,57.0,27.3,19.3,-3.1,17.0,-16.8,-11.0,-8.4,14.6,27.6,18.1,21.6
"Dec. 22 - Dec. 28, 2021",Median,0.2,44.7,18.6,32.8,87.8,15.2,19.2,36.4,9.0,13.6,-0.4,-26.8,-18.4,1.2,-16.2,17.5,16.4,10.5,13.5
"Dec. 29, 2021 - Jan. 4, 2022",Median,12.3,32.2,19.3,29.7,34.9,11.6,-17.5,9.9,6.8,12.1,0.9,-15.1,-14.0,-3.1,-18.8,6.7,19.1,7.0,8.4
"Jan. 5 - Jan. 11, 2022",Median,23.0,37.8,33.6,27.3,11.1,12.7,-2.0,19.0,17.2,16.5,8.0,7.8,-13.8,-21.9,-18.4,14.7,29.7,11.3,11.8
"Jan. 12 - Jan. 18, 2022",Median,24.0,22.9,26.0,30.0,1.4,17.6,4.0,19.7,15.3,19.7,8.4,7.5,-16.0,-14.9,-17.6,9.6,24.7,10.6,11.0
"Jan. 19 - Jan. 25, 2022",Median,26.4,25.9,32.2,32.8,0.1,23.7,5.4,20.0,17.6,20.9,11.3,9.2,-15.6,-17.5,-14.4,16.2,26.9,12.7,13.5
"Jan. 26 - Feb. 1, 2022",Median,22.2,19.4,29.0,37.8,-4.7,28.3,6.3,17.3,18.0,21.7,15.8,2.1,-14.8,-15.0,-14.4,13.5,24.4,13.8,13.5
"Feb. 2 - Feb. 8, 2022",Median,12.2,17.7,16.8,18.6,-9.1,8.0,-7.3,6.3,5.9,4.1,13.7,-3.4,-17.1,-17.8,-21.6,12.7,15.4,3.5,1.8
"Feb. 9 - Feb. 15, 2022",Median,15.0,22.6,24.7,41.1,-3.6,28.6,23.5,15.8,12.8,21.0,13.3,1.4,-12.8,-11.2,-7.7,16.6,17.2,14.4,15.0
"Feb. 16 - Feb. 22, 2022",Median,24.6,13.6,28.9,13.4,-9.0,21.0,6.3,19.7,7.9,8.1,4.0,0.6,-9.4,-2.5,-13.2,17.5,25.6,4.5,4.6
"Feb. 23 - March 1, 2022",Median,28.3,30.6,26.3,24.6,-3.9,27.3,15.6,29.2,18.8,14.7,20.7,3.7,-1.6,-0.6,-12.3,21.1,28.9,13.0,11.9
"March 2 - March 8, 2022",Median,17.0,11.7,20.9,27.2,-8.6,35.6,8.5,19.7,11.7,16.0,15.4,4.0,-11.6,-8.7,-15.3,16.3,24.1,9.3,8.5
"March 9 - March 15, 2022",Median,15.4,15.2,20.6,25.9,-2.4,30.8,13.7,27.3,11.2,16.2,14.9,4.6,-8.7,-1.8,-13.0,15.9,19.3,10.2,9.4
"March 16 - March 22, 2022",Median,17.2,14.3,31.5,23.8,-9.9,35.8,16.9,26.3,14.4,18.1,1.9,2.1,-7.6,-0.3,-10.3,18.5,24.9,9.0,9.9
"March 23 - March 29, 2022",Median,17.2,10.0,32.7,22.6,-8.5,36.0,11.4,22.1,15.1,15.9,5.2,1.9,-15.7,-4.0,-11.8,14.7,19.3,8.4,8.9
"March 30 - April 5, 2022",Median,28.2,21.4,30.0,28.5,-2.5,32.1,14.1,29.2,22.1,20.7,12.5,6.1,-7.4,0.8,-10.4,18.3,24.4,14.1,14.1
"April 6 - April 12, 2022",Median,25.7,18.7,31.1,27.4,-2.8,28.2,16.6,28.8,19.0,20.0,7.7,4.4,-9.6,0.3,-9.9,19.1,26.7,12.6,13.2
"April 13 - April 19, 2022",Median,8.7,11.6,9.1,26.3,-8.1,21.3,7.8,20.1,6.3,13.6,6.8,-1.3,-10.0,-6.9,-13.3,5.6,17.2,7.0,6.6
"April 20 - April 26, 2022",Median,25.7,20.5,39.5,20.5,1.5,31.5,13.2,29.6,16.3,20.6,3.7,4.7,-13.8,-0.5,-9.8,21.2,28.4,10.5,11.1
"April 27 - May 3, 2022",Median,23.5,19.3,35.4,24.8,-1.7,33.3,15.9,30.7,14.9,22.2,17.3,11.7,-10.7,0.0,-10.9,20.5,26.4,11.9,11.2
"May 4 - May 10, 2022",Median,9.9,9.6,23.7,32.7,-2.7,31.6,15.7,24.8,8.8,20.0,8.6,2.8,-13.5,-6.4,-5.9,12.0,20.7,12.0,12.3
"May 11 - May 17, 2022",Median,11.7,8.6,26.2,22.5,-3.9,36.3,5.5,27.7,11.8,9.3,7.7,12.6,-13.1,1.2,-13.0,18.4,26.6,7.9,7.7
"May 18 - May 24, 2022",Median,13.9,23.4,22.9,22.7,0.5,39.5,5.3,31.4,16.8,10.1,3.1,5.3,-10.5,0.1,-11.4,21.3,24.6,9.3,9.9
"May 25 - May 31, 2022",Median,21.9,18.7,30.3,32.7,16.6,40.4,6.2,44.5,16.8,16.4,8.5,3.4,0.0,4.8,-11.0,19.5,22.7,14.2,14.5
"June 1 - June 7, 2022",Median,22.6,11.7,32.3,28.9,15.4,44.3,8.8,35.6,17.4,22.5,13.6,7.8,-9.1,-4.4,-12.2,20.6,27.4,14.1,14.0
"June 8 - June 14, 2022",Median,13.1,7.7,22.7,27.9,3.4,45.5,10.6,35.8,14.9,20.6,12.0,0.0,-8.9,-0.3,-12.2,15.7,25.4,11.8,11.6
"June 15 - June 21, 2022",Median,13.0,7.7,21.6,32.0,7.7,47.6,21.8,48.5,14.3,22.2,3.3,1.3,-5.7,-3.2,-7.1,18.1,22.3,13.6,15.1
"June 22 - June 24, 2022 (partial week)",Median,27.6,-0.9,19.6,17.4,6.8,42.7,8.1,44.9,13.3,27.1,3.7,6.2,-0.6,-3.8,-10.4,13.9,31.6,9.4,10.2
